JobID,SubmitTime,WaitTime,RunTime,NProc,UsedCPUTime,UsedMemory,ReqNProcs,ReqTime,ReqMemory,Status,UserID,GroupID,ExecutableID,QueueID,PartitionID,OrigSiteID,LastRunSiteID,JobStructure,JobStructureParams,UsedNetwork,UsedLocalDiskSpace,UsedResources,ReqPlatform,ReqNetwork,ReqLocalDiskSpace,ReqResources,VOID,ProjectID
1,1136070690,0,11,1,4.0,35848.0,1,259200.0,-1.0,1,U1023S0,G1,X1,Q1,1,clrlcgce01,clrlcgce01,-1,-1,-1.0,-1.0,-1,-1,-1.0,-1.0,-1,-1,-1
2,1136072890,1,46,1,3.0,49216.0,1,900.0,-1.0,1,U1018S0,G1,X1,Q2,1,clrlcgce01,clrlcgce01,-1,-1,-1.0,-1.0,-1,-1,-1.0,-1.0,-1,-1,-1
3,1136074695,1,197831,1,0.0,0.0,1,259200.0,-1.0,1,U1033S0,G6,X1,Q4,1,clrlcgce01,clrlcgce01,-1,-1,-1.0,-1.0,-1,-1,-1.0,-1.0,-1,-1,-1
4,1136074754,2,197682,1,0.0,0.0,1,259200.0,-1.0,1,U1033S0,G6,X1,Q4,1,clrlcgce01,clrlcgce01,-1,-1,-1.0,-1.0,-1,-1,-1.0,-1.0,-1,-1,-1
5,1136074756,2,197552,1,0.0,0.0,1,259200.0,-1.0,1,U1033S0,G6,X1,Q4,1,clrlcgce01,clrlcgce01,-1,-1,-1.0,-1.0,-1,-1,-1.0,-1.0,-1,-1,-1
6,1136074814,1,197495,1,0.0,0.0,1,259200.0,-1.0,1,U1033S0,G6,X1,Q4,1,clrlcgce01,clrlcgce01,-1,-1,-1.0,-1.0,-1,-1,-1.0,-1.0,-1,-1,-1
7,1136077528,58,-1,0,-1.0,-1.0,1,-1.0,-1.0,5,-1,-1,-1,Q3,1,clrlcgce01,clrlcgce01,-1,-1,-1.0,-1.0,-1,-1,-1.0,-1.0,-1,-1,-1
8,1136077775,58,-1,0,-1.0,-1.0,1,-1.0,-1.0,5,-1,-1,-1,Q2,1,clrlcgce01,clrlcgce01,-1,-1,-1.0,-1.0,-1,-1,-1.0,-1.0,-1,-1,-1
9,1136077889,58,-1,0,-1.0,-1.0,1,-1.0,-1.0,5,-1,-1,-1,Q3,1,clrlcgce01,clrlcgce01,-1,-1,-1.0,-1.0,-1,-1,-1.0,-1.0,-1,-1,-1
10,1136078195,58,-1,0,-1.0,-1.0,1,-1.0,-1.0,5,-1,-1,-1,Q2,1,clrlcgce01,clrlcgce01,-1,-1,-1.0,-1.0,-1,-1,-1.0,-1.0,-1,-1,-1
11,1136078435,58,-1,0,-1.0,-1.0,1,-1.0,-1.0,5,-1,-1,-1,Q2,1,clrlcgce01,clrlcgce01,-1,-1,-1.0,-1.0,-1,-1,-1.0,-1.0,-1,-1,-1
12,1136078608,58,-1,0,-1.0,-1.0,1,-1.0,-1.0,5,-1,-1,-1,Q3,1,clrlcgce01,clrlcgce01,-1,-1,-1.0,-1.0,-1,-1,-1.0,-1.0,-1,-1,-1
